Pattern ID;Pattern Name;Description;Alias;Sub category;Category;Motivation;Solution;Consequences;Examples;Related Patterns;Resources;Link;Type;Comments
P107;Memory Consolidation Pattern;Ensures that over time scattered pieces of information are merged into a more unified and stable memory record. Instead of leaving knowledge fragmented across many small pieces, the agentic system periodically synthesizes them into a coherent summary or narratives.;;;Context-Based Pattern;Many times within the agentic system, knowledge stays fragmented, forcing the used LLM to stitch together many pieces during reasoning. This wastes tokens, adds complexity, and increases the risk of missing important details.;Periodically merging scattered items (for example notes, summaries, episodic records, or nodes into a single coherent memory). This unified node becomes a stable reference, reducing redundancy and giving the system a simpler, more reliable baseline for reasoning.;;;;mark_lane_2025;;White;
P108;Memory Federation Pattern;Ensures that knowledge spread across multiple memory systems (for example hierarchical stores, episodic archives, semantic graphs, or vector indexes) can be accessed as a unified resource. So instead of querying each store separately, the pattern provides a collective interface that coordinates queries, merges results, and presents a coherent view, simplifying retrieval. ;;;Memory Pattern;Usually each memory store must be queried separately, making retrieval complex and risking having connections overlooked. Manual merging increases token use and system complexity.;Having a federated memory provides a unified interface that queries all memory stores simultaneously or in sequence, merging results into a single coherent response. So then the agentic system accesses data seamlessly, ensuring seamless retrieval.;;;;mark_lane_2025;;White;
P109;Memory Pruning Pattern;This pattern makes sure that as the used LLM�s knowledge grows, outdated and irrelevant  information is periodically removed or compressed. This keeps long-term memory focused, reduces token use, speeds retrieval, and prevents confusion or possible contradictions from the stored data.;;;Memory Pattern;Memory can accumulate outdated facts, redundant data, or irrelevant details. Without some type of pruning, this wastes tokens and risks confusion.;Periodically reviewing stored knowledge and removing obsolete, irrelevant, or superseded information. This keeps the LLM�s memory clean, accurate, and efficient, targeting old episodes, duplicate nodes, outdated hierarchies, or unnecessary details.;;;;mark_lane_2025;;White;
P110;Token Authentication Pattern ;This pattern ensures that only verified users, services, or agents can access the agentic system or its data. It issues time-bound, revocable tokens representing authenticated identities. Each request must present a valid token, preventing unauthorized access.;;;Authentication Pattern;Without strong authentication, anyone could access the agent or sensitive endpoints. Static keys are vulnerable, and repeatedly sending credentials is inefficient.;Issuing tokens after successful authentication. The requests must include the token, which the system validates before granting access. Tokens can expire, be refreshed, or revoked, giving administrators precise control over access and duration.;;;;mark_lane_2025;;White;
P111;Role-Based Access Pattern;The pattern ensures that authenticated entities ( to be more precise: users, services, or agents) have permissions appropriate according to their role. Roles define what features, tools, or data an entity can access, preventing universal access to sensitive LLM capabilities. This approach keeps security granular, flexible, and easier to maintain.;;;Authentication Pattern;Authentication alone doesn�t control authority. Without roles, any authenticated user might gain excessive access, risking data exposure or misuse of sensitive agentic features.;Have entities be assigned with roles (like �admin,� �editor,� �viewer,� �compliance_officer�) with specific permissions. When a request is received, the system checks both the token and the role, ensuring the requested action aligns with the role�s authorization.;;;;mark_lane_2025;;White;
P112;Multi-Factor Verification Pattern;This pattern strengthens authentication by requiring multiple credential types. This ensures that a single compromised factor doesn�t allow unauthorized access, adding a robust security layer beyond token authentication or role-based access.;;;Authentication Pattern;Single-factor authentication, like a password or token, is vulnerable. If compromised, attackers gain full access to the agentic system and its LLM features.;Enforcing at least two factors, so correctly filling in one factor isn�t enough. Even if a password is stolen, access requires the second factor, safeguarding the system against single-point breaches.;;;;mark_lane_2025;;White;
P113;Information Masking Pattern;This pattern makes sure that sensitive or personally identifiable information is never exposed in raw form. User names, IDs, or confidential tokens are masked, redacted, or replaced with anonymized placeholders. This preserves the usefulness of the data while protecting privacy and compliance.;;;Privacy Pattern;In agentic systems without anonymization techniques, personal or confidential information may appear in logs, outputs, or shared data, risking privacy.;Identifying sensitive fields and replacing them with masked values before display. This allows the system to function and produce meaningful responses while preventing sensitive information from being exposed.;;;;mark_lane_2025;;White;
P114;Consent Management Pattern;The pattern ensures that users are fully informed and in control of how their personal data is collected, stored, and used. Beyond data minimization and masking, it explicitly requests permission, allows easy withdrawal, and provides transparency on data usage.;;;Privacy Pattern;Without consent mechanisms, the system may process user data without permission, risking privacy violations, legal issues, and user distrust.;Introducing formal consent steps in the agentic system, like present clear terms, purpose explanation and scope of data use, logging user choices, and mentioning their preferences. If consent is denied or revoked by the user, the agentic system stops processing that data, aligning with user wishes and policies.;;;;mark_lane_2025;;White;
P115;Access Tracking Pattern;The pattern records every instance of data being viewed, retrieved, or modified by users, services, or agents. It captures who accessed what, when, from where, and under what authorization.It focuses on data usage, enabling compliance verification and detecting unauthorized access.;;;Audit Pattern;Without detailed access records, it is impossible to confirm that sensitive data remained secure, that compliance rules were followed, or to detect suspicious usage.;Having logs of each data access event, including the entity, data accessed, timestamp, and context. This builds a comprehensive history over time, supporting audits, investigations, and ongoing refinement of security controls.;;;;mark_lane_2025;;White;
P116;Compliance Monitoring Pattern;The pattern ensures that a Foundation Model system continuously adheres to laws, policies, and internal standards. It also systematically checks logs, access records, and activities against current regulations or corporate guidelines. This creates a feedback loop that quickly detects and addresses potential breaches, reducing liability and reassuring stakeholders of ethical and legal alignment.;;;Audit Pattern;Even with established policies, agentic systems can drift under complex or changing conditions. Without continuous checks, unnoticed policy violations or regulatory breaches can accumulate, creating legal and reputational risks.;Having regular evaluations of system activity against compliance criteria. Using logs, access records, and anomaly detection, the agentic system identifies deviation from the guidelines and triggers alerts or corrective actions, maintaining ongoing adherence to the legal standards.;;;;mark_lane_2025;;White;
P117;Security Event Handler Pattern;The pattern makes sure that security incidents (for example prompt injections, unauthorized access, compliance violations, or suspicious outputs) trigger immediate, structured responses. It coordinates real-time actions like alerts, administrator notifications, adaptive policy enforcement, session isolation, or automatic rollbacks. This proactive handling minimizes damage, maintains stability, and reinforces user trust.;;;Audit Pattern;Without a rapid response mechanism, even monitored systems remain at risk. Incidents require immediate containment, remediation, or escalation.;Defining a workflow activated by security triggers. So depending on severity, it may alert stakeholders, block actions, escalate checks, notify compliance officers, or dynamically adjust filters. This ensures security incidents are addressed appropriately, reducing harm and enabling quick recovery.;;;;mark_lane_2025;;White;
P118;Security Policy Enforcer Pattern;This Audit pattern, ensures all components, actions, and decisions in an LLM system comply with organizational, regulatory, and ethical security policies.;;;Audit Pattern;Security measures can drift or conflict, and without a central enforcer, any local changes or adaptive decisions may violate the existing policies.;Having set a reference of high-level policies governing all security decisions. Then every action or adaptation is checked against these rules, with violations blocked, adjusted, or escalated. This ensures consistent security across the system.;;;;mark_lane_2025;;White;
P119;Response Caching & Reuse Pattern;This pattern avoids recomputing answers for repeated or similar queries. By storing and reusing previous responses, the system cuts computation, lowers costs, and delivers faster replies. It�s especially useful for recurring questions, FAQs, or template based requests, improving throughput, user experience, and cost-efficiency.;;;Performance & Optimization Pattern;Regenerating answers for the same or similar prompts wastes computation, increases latency, and raises costs.;Adding a cache where answers are stored and indexed by query. New requests check the cache first reducing repeated work and speeding up the response times.;;;;mark_lane_2025;;White;
P120;Load Balancing & Rate Limiting Strategies Pattern;The pattern helps the agentic system handle variable request volumes and traffic spikes. On one hand,  Load balancing distributes requests across servers, endpoints, or tools to prevent overload, while rate limiting controls intake, throttling excess requests to avoid system strain or cost spikes.;;;Performance & Optimization Pattern;Uncontrolled request traffic can overwhelm LLM resources, leading to slow responses, errors, or crashes. Without load balancing and rate limits, system reliability suffers.;In this pattern requests are evenly distributed  and per client or global rate limits are enforced. This smooths traffic spikes, prevents resource overload, maintains stable response times, and controls costs.;;;;mark_lane_2025;;White;
P121;A/B Testing for Prompt Strategies Pattern;This pattern provides a structured, data-driven method for improving the effectiveness of prompts.;;;Evaluation & Quality Assurance Pattern;Prompt engineering often depends on trial and error, with teams making adjustments based on instinct rather than evidence. This ad-hoc approach wastes effort and makes it difficult to know which changes genuinely improve outcomes.;Running controlled experiments by splitting queries or user traffic between different prompt variants. Collecting quantitative and qualitative metrics to evaluate which version performs best. Based on the evidence,  the developer adopts the superior variant or continue iterating with new tests.;;;;mark_lane_2025, liu_agent_2024,horne_agentic_nodate;;White;
P122;Metric-Driven Refinement Pattern;Improvements for LLM-based system should be driven by carefully chosen consistently monitored metrics.;;;Evaluation & Quality Assurance Pattern;Without clear and objective metrics ( that are the secret to system improvements), opinions on the system are driven by subjective opinions or incomplete evidence. This lack of grounding can lead to inconsistent evolution and reduced transparency.;Adopting a metric-driven refinement cycle: select metrics that reflect key goals (for example quality, cost, user satisfaction), monitor them continuously, apply changes, and reevaluate their impact;;;;mark_lane_2025, liu_agent_2024,horne_agentic_nodate;;White;
P123;Explainable Compliance Pattern;Makes sure that the agentic system adheres to relevant laws, regulations, and organizational policies and also demonstrate and explain that adherence when questioned so that the processes can be tracked by human developers.;;;Governance & Ethical Application Pattern;Compliance is often enforced invisibly in the background. Without explainability, neither developers nor regulators can clearly verify how decisions were made or whether policies were correctly applied.;Equipment of agentic AI systems with transparent compliance mechanisms. Logging of which rules and policies were checked, document the reasoning behind compliance decisions (for example content filtering, data governance), and preservation of evidence that supports adherence.;;;;mark_lane_2025;;White;
P124;Policy Evolution & Update Pattern;Ensures that the agentic system�s policies (covering ethics, compliance, fairness, and security) remain updated and relevant as laws, social norms, and organizational standards evolve.;;;Governance & Ethical Application Pattern;Governance policies must evolve alongside shifting legal, social, and organizational contexts. The problem is that if policies remain static, they quickly become outdated and if they change without structure, they create inconsistency and risk.;Managing governance policies with an iterative process. Rules are treated like software artifacts: assign version numbers, validate updates through tests (foe example for bias detection, compliance checks) and record documented changes. Integration of policy updates into CI/CD pipelines and human-in-the-loop review to catch unintended effects. ;;;;mark_lane_2025;;White;
